io_nio,y_kontinuierlich_sicherheitsabstand,y_od_komponente_zuverlaessig,y_nio_wandstaerke,y_nio_ovalitaet,y_nio_od,y_nio_wellhoehe,y_nio_bindenaehte,y_nio_blasenbildung,y_nio_risse,y_nio_oberflaechenfehler,y_nio_delamination
NIO,-0.008966731191369742,1,1,0,0,0,0,0,0,0,0
IO,0.14252683171562586,1,0,0,0,0,0,0,0,0,0
IO,0.33626133267065245,1,0,0,0,0,0,0,0,0,0
IO,0.3013754607778799,1,0,0,0,0,0,0,0,0,0
IO,0.007798380244959336,1,0,0,0,0,0,0,0,0,0
NIO,-0.4107003434680277,1,1,0,0,0,0,0,0,1,0
IO,0.07769290916620024,1,0,0,0,0,0,0,0,0,0
IO,0.49510742605063535,1,0,0,0,0,0,0,0,0,0
IO,0.07392970221258732,1,0,0,0,0,0,0,0,0,0
NIO,0.12510235969843075,1,0,0,0,0,0,0,0,1,0
IO,0.23941835963091926,1,0,0,0,0,0,0,0,0,0
IO,0.3504705731970006,1,0,0,0,0,0,0,0,0,0
IO,0.080632297348178,1,0,0,0,0,0,0,0,0,0
IO,0.6359923537453649,1,0,0,0,0,0,0,0,0,0
IO,0.28937411745114366,1,0,0,0,0,0,0,0,0,0
IO,0.12646490606191682,1,0,0,0,0,0,0,0,0,0
IO,0.13624038388571053,1,0,0,0,0,0,0,0,0,0
NIO,-0.396082303869143,1,0,0,0,1,0,0,0,0,0
IO,0.48119632272852025,1,0,0,0,0,0,0,0,0,0
IO,0.09660155202839601,1,0,0,0,0,0,0,0,0,0
IO,0.16277606462793176,1,0,0,0,0,0,0,0,0,0
IO,0.26424541916700406,1,0,0,0,0,0,0,0,0,0
IO,0.6733198564568464,1,0,0,0,0,0,0,0,0,0
IO,0.684481013023585,1,0,0,0,0,0,0,0,0,0
IO,0.2996506713819569,1,0,0,0,0,0,0,0,0,0
NIO,-0.2845572731574286,1,0,1,0,0,0,0,0,0,0
NIO,-0.02599892264319456,1,0,1,0,0,0,0,0,0,0
NIO,-0.02304312280241102,1,1,0,0,0,0,0,0,0,0
IO,0.14517712549256157,1,0,0,0,0,0,0,0,0,0
IO,0.18643231283863582,1,0,0,0,0,0,0,0,0,0
IO,0.10996383300176402,1,0,0,0,0,0,0,0,0,0
IO,0.007052795892649363,1,0,0,0,0,0,0,0,0,0
IO,0.23673371696374088,1,0,0,0,0,0,0,0,0,0
NIO,-0.006954128833548771,1,0,0,0,1,0,0,0,0,0
IO,0.33427583419755175,1,0,0,0,0,0,0,0,0,0
NIO,0.2154639519595027,0,0,0,0,0,0,1,0,0,0
IO,0.08710417427822507,1,0,0,0,0,0,0,0,0,0
IO,0.34657550785032487,1,0,0,0,0,0,0,0,0,0
IO,0.1766536029749327,1,0,0,0,0,0,0,0,0,0
IO,0.1562985315903352,1,0,0,0,0,0,0,0,0,0
IO,0.2821536826128498,1,0,0,0,0,0,0,0,0,0
IO,0.2699967138116685,1,0,0,0,0,0,0,0,0,0
NIO,-0.0840232535168498,1,0,1,0,0,0,0,0,0,0
IO,0.6970721381430162,1,0,0,0,0,0,0,0,0,0
IO,0.5485026229970918,1,0,0,0,0,0,0,0,0,0
IO,0.2462846031583473,1,0,0,0,0,0,0,0,0,0
IO,0.22266802132574037,1,0,0,0,0,0,0,0,0,0
IO,0.2575183882098505,1,0,0,0,0,0,0,0,0,0
IO,0.3088198159726923,1,0,0,0,0,0,0,0,0,0
NIO,-0.011164778060080613,1,0,0,0,1,0,0,0,0,0
NIO,-0.07504292088721831,0,0,0,0,1,0,0,0,0,0
IO,0.4111190919019701,1,0,0,0,0,0,0,0,0,0
NIO,-0.3380248747281343,1,0,0,1,0,0,0,0,0,0
IO,0.3799568905582712,1,0,0,0,0,0,0,0,0,0
