,schneckendrehzahl,massedurchsatz,massetemperatur,massedruck,duesenspalt,abzugsgeschwindigkeit,kalibrierdruck_mbar,kuehlwassertemperatur,mfr_charge,wandstaerke_ist,aussendurchmesser_ist,ovalitaet,wellhoehe_ist,wellteilung_ist
schneckendrehzahl,1.0,0.9698975002683946,-0.0176439704048156,0.1823991304982913,0.8896858539139267,0.9348490160911722,-0.5933109481553612,-0.034116520707783295,-0.040896448606769664,0.8861653763872404,0.9503403231477868,-0.20086205968972207,0.9459226509938511,0.9497187979638896
massedurchsatz,0.9698975002683946,1.0,-0.013716205054062576,0.1682438405978189,0.9181536220128904,0.9725874739392406,-0.6788070024451467,-0.05219461734338706,-0.04633289518845818,0.9138883263494673,0.9861403578554194,-0.1969581854127846,0.9845808601430055,0.9852776393256976
massetemperatur,-0.0176439704048156,-0.013716205054062576,1.0,0.2533799230499992,-0.013353730277791567,-0.0008734653644932136,-0.039755930762416666,0.038681740164818915,-0.3328370395659271,-0.07945318271532538,-0.01605588976639452,-0.010216240444534,-0.005843081665382539,-0.0024915647851584204
massedruck,0.1823991304982913,0.1682438405978189,0.2533799230499992,1.0,-0.03748607703221074,0.13325550312534834,-0.041718745267405564,0.009648182858091098,-0.7391146842717461,-0.07623630175766097,0.10853259674448039,-0.03830571038975203,0.12689266033858887,0.13626826236809314
duesenspalt,0.8896858539139267,0.9181536220128904,-0.013353730277791567,-0.03748607703221074,1.0,0.9176752634500823,-0.6503749505402361,-0.04301013905286239,-0.05427974100111606,0.994567789688652,0.9294934585642605,-0.1841178705960471,0.9274565963271901,0.9297309926602257
abzugsgeschwindigkeit,0.9348490160911722,0.9725874739392406,-0.0008734653644932136,0.13325550312534834,0.9176752634500823,1.0,-0.6778721282484302,-0.04586102066243071,-0.06265660892165548,0.9112645424924153,0.986205213292488,-0.1907465191192978,0.984431340030898,0.9852516651065985
kalibrierdruck_mbar,-0.5933109481553612,-0.6788070024451467,-0.039755930762416666,-0.041718745267405564,-0.6503749505402361,-0.6778721282484302,1.0,0.0945138447004075,0.08081654618508573,-0.641046061097019,-0.6866430661399573,0.1297929938815266,-0.7017613172431478,-0.6980839903399062
kuehlwassertemperatur,-0.034116520707783295,-0.05219461734338706,0.038681740164818915,0.009648182858091098,-0.04301013905286239,-0.04586102066243071,0.0945138447004075,1.0,-0.028611424973262408,-0.045276555446247244,-0.03651201991678417,0.0959707759190335,-0.048377845395393075,-0.05500967136460013
mfr_charge,-0.040896448606769664,-0.04633289518845818,-0.3328370395659271,-0.7391146842717461,-0.05427974100111606,-0.06265660892165548,0.08081654618508573,-0.028611424973262408,1.0,-0.001423528774922422,-0.03231297667731179,0.011868746106024121,-0.04746818865698543,-0.04902181259311966
wandstaerke_ist,0.8861653763872404,0.9138883263494673,-0.07945318271532538,-0.07623630175766097,0.994567789688652,0.9112645424924153,-0.641046061097019,-0.045276555446247244,-0.001423528774922422,1.0,0.9238224480253053,-0.17975224691188318,0.9219056668612454,0.9235491738589964
aussendurchmesser_ist,0.9503403231477868,0.9861403578554194,-0.01605588976639452,0.10853259674448039,0.9294934585642605,0.986205213292488,-0.6866430661399573,-0.03651201991678417,-0.03231297667731179,0.9238224480253053,1.0,-0.1940098625925141,0.9977437336644533,0.9984732987738625
ovalitaet,-0.20086205968972207,-0.1969581854127846,-0.010216240444534,-0.03830571038975203,-0.1841178705960471,-0.1907465191192978,0.1297929938815266,0.0959707759190335,0.011868746106024121,-0.17975224691188318,-0.1940098625925141,1.0,-0.19168759088213494,-0.20521496871184144
wellhoehe_ist,0.9459226509938511,0.9845808601430055,-0.005843081665382539,0.12689266033858887,0.9274565963271901,0.984431340030898,-0.7017613172431478,-0.048377845395393075,-0.04746818865698543,0.9219056668612454,0.9977437336644533,-0.19168759088213494,1.0,0.9965048815817166
wellteilung_ist,0.9497187979638896,0.9852776393256976,-0.0024915647851584204,0.13626826236809314,0.9297309926602257,0.9852516651065985,-0.6980839903399062,-0.05500967136460013,-0.04902181259311966,0.9235491738589964,0.9984732987738625,-0.20521496871184144,0.9965048815817166,1.0
