Merkmal,H_Statistik,p_Wert,Signifikant (p<0.05)
schneckendrehzahl,16.98,0.0,True
massedurchsatz,17.15,0.0,True
duesenspalt,22.61,0.0,True
wandstaerke_ist,24.27,0.0,True
wellhoehe_ist,18.28,0.0,True
ovalitaet,33.49,0.0,True
aussendurchmesser_ist,19.99,0.0,True
abzugsgeschwindigkeit,16.01,0.0001,True
wellteilung_ist,14.07,0.0002,True
kalibrierdruck_mbar,11.64,0.0006,True
massedruck,2.19,0.1389,False
massetemperatur,1.65,0.1993,False
kuehlwassertemperatur,1.4,0.2374,False
mfr_charge,0.92,0.3364,False
