,fehlend_absolut,fehlend_prozent
schneckendrehzahl,0,0.0
massedurchsatz,0,0.0
massetemperatur,0,0.0
massedruck,0,0.0
duesenspalt,0,0.0
abzugsgeschwindigkeit,0,0.0
kalibriermechanismus,0,0.0
kalibrierdruck_mbar,0,0.0
kuehlwassertemperatur,31,4.43
mfr_charge,28,4.0
wandstaerke_ist,0,0.0
aussendurchmesser_ist,32,4.57
ovalitaet,0,0.0
wellhoehe_ist,0,0.0
wellteilung_ist,29,4.14
bindenaehte,0,0.0
blasenbildung,0,0.0
risse,0,0.0
oberflaechenfehler,0,0.0
wandtyp,0,0.0
delamination,514,73.43
io_nio,0,0.0
