,PC1,PC2
aussendurchmesser_ist,0.34731860152287836,-0.006716152848136814
wellteilung_ist,0.3470524673989684,-0.006832375445352436
wellhoehe_ist,0.34674519155000644,-0.005123797448897305
massedurchsatz,0.3450023075000229,-0.015102053657549207
abzugsgeschwindigkeit,0.342693342676562,-0.014917231798967751
schneckendrehzahl,0.33346866690700566,-0.01766103395783439
duesenspalt,0.3333024650368394,0.05438306922542212
wandstaerke_ist,0.3318453052783629,0.09815410092415386
kalibrierdruck_mbar,-0.24753498500163593,0.009334773776719976
ovalitaet,-0.08058539464221418,-0.011225114278348975
massedruck,0.036016556589201526,-0.6325692407436304
kuehlwassertemperatur,-0.021589483719289947,-0.02961453591691367
mfr_charge,-0.013477098000817412,0.6415909416883557
massetemperatur,-0.010056348783822718,-0.4167190447039694
