zielgroesse,feature_set,modell,f1_std,f1_rueckuebersetzt_std,f1_rueckuebersetzt_std,f1_mean,f1_rueckuebersetzt_mean,f1_rueckuebersetzt_mean
binary,original,LogisticRegression,0.0321402867823989,,,0.0262365591397849,,
binary,original,kNN,0.0260223518866406,,,0.1741594799270552,,
binary,original,SVC,0.0,,,0.0,,
binary,original,RandomForest,0.0257902938441836,,,0.1644488225912374,,
binary,original,HistGradientBoosting,0.0706867942484297,,,0.2094227328373669,,
binary,original,XGBoost,0.0909849306591893,,,0.1535808918161859,,
binary,original,LightGBM,0.0735682849581469,,,0.2161598443951385,,
binary,original,GaussianNB,0.0438868811243888,,,0.4202354835339736,,
binary,original,MLP,0.0,,,0.0,,
binary,original_no_kategorial,LogisticRegression,0.0258064516129032,,,0.0129032258064516,,
binary,original_no_kategorial,kNN,0.0562488613823623,,,0.1942581509205386,,
binary,original_no_kategorial,SVC,0.0,,,0.0,,
binary,original_no_kategorial,RandomForest,0.0715689709858116,,,0.1930252740779056,,
binary,original_no_kategorial,HistGradientBoosting,0.0744434573421958,,,0.2264675831628095,,
binary,original_no_kategorial,XGBoost,0.1066483587444894,,,0.1852363991898875,,
binary,original_no_kategorial,LightGBM,0.0786772260894609,,,0.1871009692062323,,
binary,original_no_kategorial,GaussianNB,0.0628051409856766,,,0.4228047122942967,,
binary,original_no_kategorial,MLP,0.1362199110956379,,,0.2946777696306552,,
binary,residual,LogisticRegression,0.0321402867823989,,,0.0262365591397849,,
binary,residual,kNN,0.0247977036640285,,,0.1936411893279672,,
binary,residual,SVC,0.0321402867823989,,,0.0262365591397849,,
binary,residual,RandomForest,0.0759768232897393,,,0.1291029299093815,,
binary,residual,HistGradientBoosting,0.0818812637050503,,,0.2047034047034047,,
binary,residual,XGBoost,0.0495513669608584,,,0.20524075597605,,
binary,residual,LightGBM,0.1206751591006893,,,0.1812238930659983,,
binary,residual,GaussianNB,0.0536212425050131,,,0.2917576915837785,,
binary,residual,MLP,0.032659863237109,,,0.0266666666666666,,
binary,combined,LogisticRegression,0.0321402867823989,,,0.0262365591397849,,
binary,combined,kNN,0.041111358894709,,,0.1646374946374946,,
binary,combined,SVC,0.032659863237109,,,0.0266666666666666,,
binary,combined,RandomForest,0.0491268061633133,,,0.1989391023446751,,
binary,combined,HistGradientBoosting,0.076109427209972,,,0.1975605475605475,,
binary,combined,XGBoost,0.0501331348538321,,,0.1882687028197864,,
binary,combined,LightGBM,0.0473472082001221,,,0.1723525904100459,,
binary,combined,GaussianNB,0.0519364979266879,,,0.4110987317727966,,
binary,combined,MLP,0.1041221443878842,,,0.1980240086633948,,
continuous,original,Ridge,,0.0448536278338924,0.0448536278338924,,0.3232177605115687,0.3232177605115687
continuous,original,kNN,,0.0634814962559697,0.0634814962559697,,0.3098290598290598,0.3098290598290598
continuous,original,SVR,,0.0323897815840158,0.0323897815840158,,0.2448227211385106,0.2448227211385106
continuous,original,RandomForest,,0.0594773764132476,0.0594773764132476,,0.3722948294608683,0.3722948294608683
continuous,original,HistGradientBoosting,,0.0315980624093486,0.0315980624093486,,0.3205399853264857,0.3205399853264857
continuous,original,XGBoost,,0.0904366470647505,0.0904366470647505,,0.3288792286253155,0.3288792286253155
continuous,original,LightGBM,,0.0485310943752091,0.0485310943752091,,0.3613464966406143,0.3613464966406143
continuous,original,MLP,,0.0681807722289366,0.0681807722289366,,0.3351832272449383,0.3351832272449383
continuous,original_no_kategorial,Ridge,,0.0629236640914672,0.0629236640914672,,0.3312313820414056,0.3312313820414056
continuous,original_no_kategorial,kNN,,0.0406124451141891,0.0406124451141891,,0.3374392950181712,0.3374392950181712
continuous,original_no_kategorial,SVR,,0.0537764271344582,0.0537764271344582,,0.2665592805127688,0.2665592805127688
continuous,original_no_kategorial,RandomForest,,0.0513538806305511,0.0513538806305511,,0.3826721832710275,0.3826721832710275
continuous,original_no_kategorial,HistGradientBoosting,,0.0554789803174884,0.0554789803174884,,0.3508307541144682,0.3508307541144682
continuous,original_no_kategorial,XGBoost,,0.0836554261661307,0.0836554261661307,,0.3455918436568591,0.3455918436568591
continuous,original_no_kategorial,LightGBM,,0.0460632359879342,0.0460632359879342,,0.3642740439079651,0.3642740439079651
continuous,original_no_kategorial,MLP,,0.0440348369344051,0.0440348369344051,,0.3256163286260554,0.3256163286260554
continuous,residual,Ridge,,0.0456749128646776,0.0456749128646776,,0.3342395219252201,0.3342395219252201
continuous,residual,kNN,,0.0466298279963941,0.0466298279963941,,0.3178482243472101,0.3178482243472101
continuous,residual,SVR,,0.0680240336520793,0.0680240336520793,,0.2995670995670995,0.2995670995670995
continuous,residual,RandomForest,,0.0566757990412506,0.0566757990412506,,0.3598240584447481,0.3598240584447481
continuous,residual,HistGradientBoosting,,0.0508790436443001,0.0508790436443001,,0.3602422577422577,0.3602422577422577
continuous,residual,XGBoost,,0.0363312495203897,0.0363312495203897,,0.3701021911699931,0.3701021911699931
continuous,residual,LightGBM,,0.0472319467235071,0.0472319467235071,,0.3594841584727733,0.3594841584727733
continuous,residual,MLP,,0.0386905114494528,0.0386905114494528,,0.3839969106082491,0.3839969106082491
