zielgroesse,feature_set,modell,kalibrierungs_version,f1_std,f1_rueckuebersetzt_std,f1_rueckuebersetzt_std,f1_mean,f1_rueckuebersetzt_mean,f1_rueckuebersetzt_mean
binary,original,LogisticRegression,v2_class_weight_balanced,0.041333424807995504,,,0.3822468611989486,,
binary,original,kNN,v2_class_weight_balanced,0.02602235188664066,,,0.17415947992705524,,
binary,original,SVC,v2_class_weight_balanced,0.06317211201267837,,,0.4096736005411804,,
binary,original,RandomForest,v2_class_weight_balanced,0.07478181698242592,,,0.3696021464873924,,
binary,original,HistGradientBoosting,v2_class_weight_balanced,0.056769708153128845,,,0.33597166756313596,,
binary,original,XGBoost,v2_class_weight_balanced,0.061560534652203465,,,0.36413593606216554,,
binary,original,LightGBM,v2_class_weight_balanced,0.046295158777913986,,,0.36680251262366986,,
binary,original,GaussianNB,v2_class_weight_balanced,0.04388688112438888,,,0.42023548353397366,,
binary,original,MLP,v2_class_weight_balanced,0.0,,,0.0,,
binary,original_no_kategorial,LogisticRegression,v2_class_weight_balanced,0.037211718439747146,,,0.3747070779214312,,
binary,original_no_kategorial,kNN,v2_class_weight_balanced,0.056248861382362327,,,0.1942581509205386,,
binary,original_no_kategorial,SVC,v2_class_weight_balanced,0.05246720741914041,,,0.3984097236175296,,
binary,original_no_kategorial,RandomForest,v2_class_weight_balanced,0.06697423508886971,,,0.3663379282179332,,
binary,original_no_kategorial,HistGradientBoosting,v2_class_weight_balanced,0.06646114280676746,,,0.3393344485729758,,
binary,original_no_kategorial,XGBoost,v2_class_weight_balanced,0.09192921518381662,,,0.3341633978871963,,
binary,original_no_kategorial,LightGBM,v2_class_weight_balanced,0.05333680656272201,,,0.38064735339147315,,
binary,original_no_kategorial,GaussianNB,v2_class_weight_balanced,0.06280514098567662,,,0.4228047122942967,,
binary,original_no_kategorial,MLP,v2_class_weight_balanced,0.13621991109563794,,,0.29467776963065523,,
binary,residual,LogisticRegression,v2_class_weight_balanced,0.04072189990899394,,,0.37892054992456603,,
binary,residual,kNN,v2_class_weight_balanced,0.024797703664028548,,,0.19364118932796726,,
binary,residual,SVC,v2_class_weight_balanced,0.05733247564714162,,,0.3918577075098814,,
binary,residual,RandomForest,v2_class_weight_balanced,0.06048771776926141,,,0.3524321673749591,,
binary,residual,HistGradientBoosting,v2_class_weight_balanced,0.029573025973844116,,,0.383315409062788,,
binary,residual,XGBoost,v2_class_weight_balanced,0.057619529411225154,,,0.3701452344076211,,
binary,residual,LightGBM,v2_class_weight_balanced,0.04286517018429553,,,0.3947745254401601,,
binary,residual,GaussianNB,v2_class_weight_balanced,0.053621242505013156,,,0.29175769158377857,,
binary,residual,MLP,v2_class_weight_balanced,0.032659863237109045,,,0.026666666666666665,,
binary,combined,LogisticRegression,v2_class_weight_balanced,0.02827426221357395,,,0.38037652270210404,,
binary,combined,kNN,v2_class_weight_balanced,0.041111358894709016,,,0.16463749463749464,,
binary,combined,SVC,v2_class_weight_balanced,0.07075774823892896,,,0.39521035191623427,,
binary,combined,RandomForest,v2_class_weight_balanced,0.05608029797660324,,,0.3636926182978814,,
binary,combined,HistGradientBoosting,v2_class_weight_balanced,0.04981534149724649,,,0.3691964587450456,,
binary,combined,XGBoost,v2_class_weight_balanced,0.06699371328008227,,,0.35749057652263183,,
binary,combined,LightGBM,v2_class_weight_balanced,0.0419567181653146,,,0.36151177806532686,,
binary,combined,GaussianNB,v2_class_weight_balanced,0.05193649792668797,,,0.41109873177279666,,
binary,combined,MLP,v2_class_weight_balanced,0.10412214438788428,,,0.19802400866339487,,
multilabel,original,LogisticRegression,v2_class_weight_balanced,,0.012859445025437198,0.012859445025437198,,0.4220149250564302,0.4220149250564302
multilabel,original,kNN,v2_class_weight_balanced,,0.0,0.0,,0.0,0.0
multilabel,original,SVC,v2_class_weight_balanced,,0.029519043735642805,0.029519043735642805,,0.400392589866274,0.400392589866274
multilabel,original,RandomForest,v2_class_weight_balanced,,0.10007207301699027,0.10007207301699027,,0.35558589908131444,0.35558589908131444
multilabel,original,HistGradientBoosting,v2_class_weight_balanced,,0.04474529161386045,0.04474529161386045,,0.40299906883240216,0.40299906883240216
multilabel,original,XGBoost,v2_class_weight_balanced,,0.03166666666666666,0.03166666666666666,,0.02583333333333333,0.02583333333333333
multilabel,original,LightGBM,v2_class_weight_balanced,,0.07565763501823526,0.07565763501823526,,0.35158396825708793,0.35158396825708793
multilabel,original,GaussianNB,v2_class_weight_balanced,,0.017637577323595707,0.017637577323595707,,0.41320778984555934,0.41320778984555934
multilabel,original,MLP,v2_class_weight_balanced,,0.0,0.0,,0.0,0.0
multilabel,original_no_kategorial,LogisticRegression,v2_class_weight_balanced,,0.010916890839420717,0.010916890839420717,,0.42147588974787425,0.42147588974787425
multilabel,original_no_kategorial,kNN,v2_class_weight_balanced,,0.03165571126922007,0.03165571126922007,,0.038736559139784944,0.038736559139784944
multilabel,original_no_kategorial,SVC,v2_class_weight_balanced,,0.02511619824067024,0.02511619824067024,,0.42534304148046986,0.42534304148046986
multilabel,original_no_kategorial,RandomForest,v2_class_weight_balanced,,0.0704016176234211,0.0704016176234211,,0.3398413483072478,0.3398413483072478
multilabel,original_no_kategorial,HistGradientBoosting,v2_class_weight_balanced,,0.040524156692011266,0.040524156692011266,,0.3903091762952934,0.3903091762952934
multilabel,original_no_kategorial,XGBoost,v2_class_weight_balanced,,0.04852024690829204,0.04852024690829204,,0.05247311827956989,0.05247311827956989
multilabel,original_no_kategorial,LightGBM,v2_class_weight_balanced,,0.04463744340770764,0.04463744340770764,,0.3581496959768482,0.3581496959768482
multilabel,original_no_kategorial,GaussianNB,v2_class_weight_balanced,,0.039631195601704326,0.039631195601704326,,0.410825729035374,0.410825729035374
multilabel,original_no_kategorial,MLP,v2_class_weight_balanced,,0.09837246750513734,0.09837246750513734,,0.1900308841485312,0.1900308841485312
multilabel,residual,LogisticRegression,v2_class_weight_balanced,,0.014198630038039652,0.014198630038039652,,0.42481651372256213,0.42481651372256213
multilabel,residual,kNN,v2_class_weight_balanced,,0.025806451612903226,0.025806451612903226,,0.012903225806451613,0.012903225806451613
multilabel,residual,SVC,v2_class_weight_balanced,,0.014968869201801033,0.014968869201801033,,0.4059388474737828,0.4059388474737828
multilabel,residual,RandomForest,v2_class_weight_balanced,,0.07136586171745583,0.07136586171745583,,0.30696132663464787,0.30696132663464787
multilabel,residual,HistGradientBoosting,v2_class_weight_balanced,,0.05448801263412782,0.05448801263412782,,0.36048047792391796,0.36048047792391796
multilabel,residual,XGBoost,v2_class_weight_balanced,,0.02580645161290323,0.02580645161290323,,0.012903225806451613,0.012903225806451613
multilabel,residual,LightGBM,v2_class_weight_balanced,,0.03913162025782729,0.03913162025782729,,0.3300911136798323,0.3300911136798323
multilabel,residual,GaussianNB,v2_class_weight_balanced,,0.012442248559660566,0.012442248559660566,,0.4119717478296998,0.4119717478296998
multilabel,residual,MLP,v2_class_weight_balanced,,0.032659863237109045,0.032659863237109045,,0.026666666666666665,0.026666666666666665
multilabel,combined,LogisticRegression,v2_class_weight_balanced,,0.018657406782274715,0.018657406782274715,,0.42517498912060725,0.42517498912060725
multilabel,combined,kNN,v2_class_weight_balanced,,0.031000703253825687,0.031000703253825687,,0.037927663734115345,0.037927663734115345
multilabel,combined,SVC,v2_class_weight_balanced,,0.015523799534327027,0.015523799534327027,,0.39485552375217564,0.39485552375217564
multilabel,combined,RandomForest,v2_class_weight_balanced,,0.05987171208913483,0.05987171208913483,,0.3549108476007385,0.3549108476007385
multilabel,combined,HistGradientBoosting,v2_class_weight_balanced,,0.05873219062772333,0.05873219062772333,,0.3468165444263732,0.3468165444263732
multilabel,combined,XGBoost,v2_class_weight_balanced,,0.046092492949894655,0.046092492949894655,,0.050909090909090904,0.050909090909090904
multilabel,combined,LightGBM,v2_class_weight_balanced,,0.05751423375832383,0.05751423375832383,,0.34560478644985687,0.34560478644985687
multilabel,combined,GaussianNB,v2_class_weight_balanced,,0.0176182881128231,0.0176182881128231,,0.41163522939517244,0.41163522939517244
multilabel,combined,MLP,v2_class_weight_balanced,,0.07317367279913634,0.07317367279913634,,0.07667698658410733,0.07667698658410733
continuous,original,Ridge,v1_original_hyperparameter,,0.0448536278338924,0.0448536278338924,,0.3232177605115687,0.3232177605115687
continuous,original,kNN,v1_original_hyperparameter,,0.0634814962559697,0.0634814962559697,,0.3098290598290598,0.3098290598290598
continuous,original,SVR,v1_original_hyperparameter,,0.0323897815840158,0.0323897815840158,,0.2448227211385106,0.2448227211385106
continuous,original,RandomForest,v1_original_hyperparameter,,0.0594773764132476,0.0594773764132476,,0.3722948294608683,0.3722948294608683
continuous,original,HistGradientBoosting,v1_original_hyperparameter,,0.0315980624093486,0.0315980624093486,,0.3205399853264857,0.3205399853264857
continuous,original,XGBoost,v1_original_hyperparameter,,0.0904366470647505,0.0904366470647505,,0.3288792286253155,0.3288792286253155
continuous,original,LightGBM,v1_original_hyperparameter,,0.0485310943752091,0.0485310943752091,,0.3613464966406143,0.3613464966406143
continuous,original,MLP,v1_original_hyperparameter,,0.0681807722289366,0.0681807722289366,,0.3351832272449383,0.3351832272449383
continuous,original_no_kategorial,Ridge,v1_original_hyperparameter,,0.0629236640914672,0.0629236640914672,,0.3312313820414056,0.3312313820414056
continuous,original_no_kategorial,kNN,v1_original_hyperparameter,,0.0406124451141891,0.0406124451141891,,0.3374392950181712,0.3374392950181712
continuous,original_no_kategorial,SVR,v1_original_hyperparameter,,0.0537764271344582,0.0537764271344582,,0.2665592805127688,0.2665592805127688
continuous,original_no_kategorial,RandomForest,v1_original_hyperparameter,,0.0513538806305511,0.0513538806305511,,0.3826721832710275,0.3826721832710275
continuous,original_no_kategorial,HistGradientBoosting,v1_original_hyperparameter,,0.0554789803174884,0.0554789803174884,,0.3508307541144682,0.3508307541144682
continuous,original_no_kategorial,XGBoost,v1_original_hyperparameter,,0.0836554261661307,0.0836554261661307,,0.3455918436568591,0.3455918436568591
continuous,original_no_kategorial,LightGBM,v1_original_hyperparameter,,0.0460632359879342,0.0460632359879342,,0.3642740439079651,0.3642740439079651
continuous,original_no_kategorial,MLP,v1_original_hyperparameter,,0.0440348369344051,0.0440348369344051,,0.3256163286260554,0.3256163286260554
continuous,residual,Ridge,v1_original_hyperparameter,,0.0456749128646776,0.0456749128646776,,0.3342395219252201,0.3342395219252201
continuous,residual,kNN,v1_original_hyperparameter,,0.0466298279963941,0.0466298279963941,,0.3178482243472101,0.3178482243472101
continuous,residual,SVR,v1_original_hyperparameter,,0.0680240336520793,0.0680240336520793,,0.2995670995670995,0.2995670995670995
continuous,residual,RandomForest,v1_original_hyperparameter,,0.0566757990412506,0.0566757990412506,,0.3598240584447481,0.3598240584447481
continuous,residual,HistGradientBoosting,v1_original_hyperparameter,,0.0508790436443001,0.0508790436443001,,0.3602422577422577,0.3602422577422577
continuous,residual,XGBoost,v1_original_hyperparameter,,0.0363312495203897,0.0363312495203897,,0.3701021911699931,0.3701021911699931
continuous,residual,LightGBM,v1_original_hyperparameter,,0.0472319467235071,0.0472319467235071,,0.3594841584727733,0.3594841584727733
continuous,residual,MLP,v1_original_hyperparameter,,0.0386905114494528,0.0386905114494528,,0.3839969106082491,0.3839969106082491
continuous,combined,Ridge,v1_original_hyperparameter,,0.0444559368672347,0.0444559368672347,,0.3354299981156963,0.3354299981156963
continuous,combined,kNN,v1_original_hyperparameter,,0.0341071568550474,0.0341071568550474,,0.3388978284106204,0.3388978284106204
continuous,combined,SVR,v1_original_hyperparameter,,0.0641215271802994,0.0641215271802994,,0.2659090909090909,0.2659090909090909
continuous,combined,RandomForest,v1_original_hyperparameter,,0.0489163616790307,0.0489163616790307,,0.3647237272853036,0.3647237272853036
continuous,combined,HistGradientBoosting,v1_original_hyperparameter,,0.0313394764608214,0.0313394764608214,,0.3656932292542595,0.3656932292542595
continuous,combined,XGBoost,v1_original_hyperparameter,,0.0595202875055322,0.0595202875055322,,0.3544727891156461,0.3544727891156461
continuous,combined,LightGBM,v1_original_hyperparameter,,0.0692153103896978,0.0692153103896978,,0.3601952015601152,0.3601952015601152
