zielgroesse,modell,feature_set,gap,validierungs_f1
binary,GaussianNB,original,0.0253195693737537,0.4202354835339736
binary,GaussianNB,original_no_kategorial,0.0321772726332246,0.4228047122942967
binary,GaussianNB,residual,0.0354105732629069,0.2917576915837785
binary,GaussianNB,combined,0.0308807859823704,0.4110987317727966
binary,LogisticRegression,original,0.0413734541806872,0.0262365591397849
binary,LogisticRegression,original_no_kategorial,0.0541620936530008,0.0129032258064516
binary,LogisticRegression,residual,0.0621652371806554,0.0262365591397849
binary,LogisticRegression,combined,0.0626393824798007,0.0262365591397849
binary,kNN,original,0.2092295853693962,0.1741594799270552
binary,kNN,original_no_kategorial,0.2411777436365665,0.1942581509205386
binary,kNN,residual,0.1598151005757394,0.1936411893279672
binary,kNN,combined,0.2044382586161023,0.1646374946374946
binary,SVC,original,0.0033898305084745,0.0
binary,SVC,original_no_kategorial,0.0067226890756302,0.0
binary,SVC,residual,0.0796262601308185,0.0262365591397849
binary,SVC,combined,0.0515091688704446,0.0266666666666666
binary,RandomForest,original,0.5307365064552966,0.1644488225912374
binary,RandomForest,original_no_kategorial,0.5210066245108413,0.1930252740779056
binary,RandomForest,residual,0.5045687527171575,0.1291029299093815
binary,RandomForest,combined,0.5226605989508896,0.1989391023446751
binary,HistGradientBoosting,original,0.3239765961666793,0.2094227328373669
binary,HistGradientBoosting,original_no_kategorial,0.3041197226377901,0.2264675831628095
binary,HistGradientBoosting,residual,0.2886771169686534,0.2047034047034047
binary,HistGradientBoosting,combined,0.3678243218039101,0.1975605475605475
binary,XGBoost,original,0.4282113636711321,0.1535808918161859
binary,XGBoost,original_no_kategorial,0.3900814848158925,0.1852363991898875
binary,XGBoost,residual,0.3397292320819843,0.20524075597605
binary,XGBoost,combined,0.416573875416457,0.1882687028197864
binary,LightGBM,original,0.2772609921046121,0.2161598443951385
binary,LightGBM,original_no_kategorial,0.3082401196192679,0.1871009692062323
binary,LightGBM,residual,0.2982374720096281,0.1812238930659983
binary,LightGBM,combined,0.3648720404835399,0.1723525904100459
binary,MLP,original,0.0,0.0
binary,MLP,original_no_kategorial,-0.0116573187127018,0.2946777696306552
binary,MLP,residual,-0.0097175141242937,0.0266666666666666
binary,MLP,combined,0.0383402239650532,0.1980240086633948
continuous,Ridge,original,0.0834898626996205,0.3232177605115687
continuous,Ridge,original_no_kategorial,0.0832101556156183,0.3312313820414056
continuous,Ridge,residual,0.0798835576350906,0.3342395219252201
continuous,Ridge,combined,0.077256884950821,0.3354299981156963
continuous,kNN,original,0.191117648385535,0.3098290598290598
continuous,kNN,original_no_kategorial,0.180716697009288,0.3374392950181712
continuous,kNN,residual,0.201048573662793,0.3178482243472101
continuous,kNN,combined,0.1646626507577401,0.3388978284106204
continuous,SVR,original,0.2169539596788879,0.2448227211385106
continuous,SVR,original_no_kategorial,0.192238758401905,0.2665592805127688
continuous,SVR,residual,0.3378475112551824,0.2995670995670995
continuous,SVR,combined,0.3403978782063889,0.2659090909090909
continuous,RandomForest,original,0.3820045016519761,0.3722948294608683
