zielgroesse,modell,feature_set,gap,validierungs_f1
binary,GaussianNB,original,0.025319569373753792,0.42023548353397366
binary,GaussianNB,original_no_kategorial,0.03217727263322464,0.4228047122942967
binary,GaussianNB,residual,0.035410573262906905,0.29175769158377857
binary,GaussianNB,combined,0.03088078598237045,0.41109873177279666
binary,LogisticRegression,original,0.0704234059470907,0.3822468611989486
binary,LogisticRegression,original_no_kategorial,0.07318898080602136,0.3747070779214312
binary,LogisticRegression,residual,0.07009040742068583,0.37892054992456603
binary,LogisticRegression,combined,0.06876591823596787,0.38037652270210404
binary,kNN,original,0.20922958536939626,0.17415947992705524
binary,kNN,original_no_kategorial,0.24117774363656652,0.1942581509205386
binary,kNN,residual,0.15981510057573942,0.19364118932796726
binary,kNN,combined,0.20443825861610235,0.16463749463749464
binary,SVC,original,0.14168486210379766,0.4096736005411804
binary,SVC,original_no_kategorial,0.14871649195077785,0.3984097236175296
binary,SVC,residual,0.2501616774126568,0.3918577075098814
binary,SVC,combined,0.21289496825493265,0.39521035191623427
binary,RandomForest,original,0.5323273591929241,0.3696021464873924
binary,RandomForest,original_no_kategorial,0.5438903955685843,0.3663379282179332
binary,RandomForest,residual,0.5668848552021755,0.3524321673749591
binary,RandomForest,combined,0.5564245738890363,0.3636926182978814
binary,HistGradientBoosting,original,0.38887557281777985,0.33597166756313596
binary,HistGradientBoosting,original_no_kategorial,0.3821037379334142,0.3393344485729758
binary,HistGradientBoosting,residual,0.339645060512257,0.383315409062788
binary,HistGradientBoosting,combined,0.39086860423956776,0.3691964587450456
binary,XGBoost,original,0.3890388236612111,0.36413593606216554
binary,XGBoost,original_no_kategorial,0.42941008006144743,0.3341633978871963
binary,XGBoost,residual,0.41306946755896484,0.3701452344076211
binary,XGBoost,combined,0.4459589102236795,0.35749057652263183
binary,LightGBM,original,0.3292702530291386,0.36680251262366986
binary,LightGBM,original_no_kategorial,0.29447068520671216,0.38064735339147315
binary,LightGBM,residual,0.3068703610242725,0.3947745254401601
binary,LightGBM,combined,0.3565322730066329,0.36151177806532686
binary,MLP,original,0.0,0.0
binary,MLP,original_no_kategorial,-0.011657318712701842,0.29467776963065523
binary,MLP,residual,-0.009717514124293785,0.026666666666666665
binary,MLP,combined,0.038340223965053224,0.19802400866339487
continuous,Ridge,original,0.0834898626996205,0.3232177605115687
continuous,Ridge,original_no_kategorial,0.0832101556156183,0.3312313820414056
continuous,Ridge,residual,0.0798835576350906,0.3342395219252201
continuous,Ridge,combined,0.077256884950821,0.3354299981156963
continuous,kNN,original,0.191117648385535,0.3098290598290598
continuous,kNN,original_no_kategorial,0.180716697009288,0.3374392950181712
continuous,kNN,residual,0.201048573662793,0.3178482243472101
continuous,kNN,combined,0.1646626507577401,0.3388978284106204
continuous,SVR,original,0.2169539596788879,0.2448227211385106
continuous,SVR,original_no_kategorial,0.192238758401905,0.2665592805127688
continuous,SVR,residual,0.3378475112551824,0.2995670995670995
continuous,SVR,combined,0.3403978782063889,0.2659090909090909
continuous,RandomForest,original,0.3820045016519761,0.3722948294608683
