zielgroesse,modell,bestes_feature_set,f1_bestwert,abstand_zu_bayes_floor,train_cv_gap,feature_set_spannweite,fit_zeit_sek
binary,LogisticRegression,original,0.382,0.065,0.07,0.008,0.0164
binary,kNN,original_no_kategorial,0.194,0.253,0.241,0.03,0.0029
binary,SVC,original,0.41,0.037,0.142,0.018,0.0051
binary,RandomForest,original,0.37,0.077,0.532,0.017,0.2993
binary,HistGradientBoosting,residual,0.383,0.064,0.34,0.047,0.717
binary,XGBoost,residual,0.37,0.077,0.413,0.036,0.0161
binary,LightGBM,residual,0.395,0.052,0.307,0.033,0.0123
binary,GaussianNB,original_no_kategorial,0.423,0.024,0.032,0.131,0.0015
binary,MLP,original_no_kategorial,0.295,0.152,-0.012,0.295,0.0509
continuous,Ridge,combined,0.335,0.112,0.077,0.012,0.0026
continuous,kNN,combined,0.339,0.108,0.165,0.029,0.0
continuous,SVR,residual,0.3,0.147,0.338,0.055,0.0091
continuous,RandomForest,original_no_kategorial,0.383,0.064,0.37,0.023,0.3456
continuous,HistGradientBoosting,combined,0.366,0.081,0.301,0.045,0.0566
continuous,XGBoost,residual,0.37,0.077,0.314,0.041,0.0369
continuous,LightGBM,original_no_kategorial,0.364,0.083,0.225,0.005,0.0145
continuous,MLP,residual,0.384,0.063,0.045,0.058,0.1009
multilabel,LogisticRegression,combined,0.425,0.022,0.007,0.004,0.0621
multilabel,kNN,original_no_kategorial,0.039,0.408,0.042,0.039,0.0094
multilabel,SVC,original_no_kategorial,0.425,0.022,0.071,0.03,0.0391
multilabel,RandomForest,original,0.356,0.091,0.492,0.049,2.4866
multilabel,HistGradientBoosting,original,0.403,0.044,0.283,0.056,10.9449
multilabel,XGBoost,original_no_kategorial,0.052,0.395,0.186,0.04,0.1621
multilabel,LightGBM,original_no_kategorial,0.358,0.089,0.359,0.028,0.142
multilabel,GaussianNB,original,0.413,0.034,-0.001,0.002,0.0198
multilabel,MLP,original_no_kategorial,0.19,0.257,0.019,0.19,0.544
