modell,kriterium,f1_mean,f1_std,positiv_rate_prozent
GaussianNB,y_nio_wandstaerke,0.145,0.096,3.71
GaussianNB,y_nio_ovalitaet,0.205,0.075,7.71
GaussianNB,y_nio_od,0.052,0.035,3.71
GaussianNB,y_nio_wellhoehe,0.115,0.053,4.14
GaussianNB,y_nio_bindenaehte,0.0,0.0,0.71
GaussianNB,y_nio_blasenbildung,0.071,0.041,2.0
GaussianNB,y_nio_risse,0.067,0.133,1.14
GaussianNB,y_nio_oberflaechenfehler,0.049,0.059,6.14
GaussianNB,y_nio_delamination,0.0,0.0,0.86
LogisticRegression,y_nio_wandstaerke,0.122,0.077,3.71
LogisticRegression,y_nio_ovalitaet,0.22,0.081,7.71
LogisticRegression,y_nio_od,0.116,0.025,3.71
LogisticRegression,y_nio_wellhoehe,0.151,0.08,4.14
LogisticRegression,y_nio_bindenaehte,0.051,0.064,0.71
LogisticRegression,y_nio_blasenbildung,0.067,0.011,2.0
LogisticRegression,y_nio_risse,0.076,0.063,1.14
LogisticRegression,y_nio_oberflaechenfehler,0.157,0.067,6.14
LogisticRegression,y_nio_delamination,0.04,0.08,0.86
SVC,y_nio_wandstaerke,0.061,0.077,3.71
SVC,y_nio_ovalitaet,0.203,0.091,7.71
SVC,y_nio_od,0.063,0.036,3.71
SVC,y_nio_wellhoehe,0.121,0.048,4.14
SVC,y_nio_bindenaehte,0.2,0.267,0.71
SVC,y_nio_blasenbildung,0.071,0.063,2.0
SVC,y_nio_risse,0.044,0.089,1.14
SVC,y_nio_oberflaechenfehler,0.105,0.054,6.14
SVC,y_nio_delamination,0.1,0.2,0.86
