merkmal,q1,q3,iqr,untere_grenze,obere_grenze,n_ausreisser,anteil_prozent
material_mfr,0.556,0.82,0.264,0.16,1.216,8,0.4
dn_ziel,96.089,176.674,80.584,-24.787,297.55,73,3.65
wandstaerke_soll,1.764,2.447,0.683,0.74,3.471,34,1.7
dickentoleranz,0.11,0.236,0.126,-0.078,0.424,0,0.0
produktionsgeschwindigkeit_soll,8.827,12.001,3.175,4.065,16.763,21,1.05
ovalitaet_anforderung,0.472,0.832,0.36,-0.068,1.372,0,0.0
schneckendrehzahl,39.014,48.574,9.56,24.674,62.914,27,1.35
massetemperatur,200.483,208.029,7.547,189.163,219.349,13,0.65
duesenspalt,1.782,2.634,0.852,0.503,3.913,44,2.2
vakuumniveau,85.695,109.93,24.234,49.344,146.281,7,0.35
innenluftdruck,68.767,92.002,23.234,33.915,126.853,17,0.85
kuehlwassertemperatur,17.131,20.975,3.843,11.367,26.74,21,1.05
schmelzfestigkeit_proxy,0.48,0.744,0.264,0.084,1.14,8,0.4
