merkmal,skewness,kurtosis,empfehlung
material_mfr,0.095,-0.266,"StandardScaler (nahe symmetrisch, moderate Woelbung)"
dn_ziel,0.935,0.479,"RobustScaler empfehlenswert pruefen (spuerbare Schiefe, Ausreisser-Risiko)"
wandstaerke_soll,0.771,0.208,"RobustScaler empfehlenswert pruefen (spuerbare Schiefe, Ausreisser-Risiko)"
dickentoleranz,-0.015,-1.203,"StandardScaler vertretbar (plattgipflig/gleichverteilt-aehnlich, aber keine Ausreisser-Haeufung)"
produktionsgeschwindigkeit_soll,-0.052,0.045,"StandardScaler (nahe symmetrisch, moderate Woelbung)"
ovalitaet_anforderung,-0.042,-1.245,"StandardScaler vertretbar (plattgipflig/gleichverteilt-aehnlich, aber keine Ausreisser-Haeufung)"
schneckendrehzahl,0.408,0.305,"StandardScaler (nahe symmetrisch, moderate Woelbung)"
massetemperatur,0.136,0.01,"StandardScaler (nahe symmetrisch, moderate Woelbung)"
duesenspalt,0.776,0.299,"RobustScaler empfehlenswert pruefen (spuerbare Schiefe, Ausreisser-Risiko)"
vakuumniveau,-0.109,-0.444,"StandardScaler (nahe symmetrisch, moderate Woelbung)"
innenluftdruck,-0.461,0.011,"StandardScaler (nahe symmetrisch, moderate Woelbung)"
kuehlwassertemperatur,0.062,0.223,"StandardScaler (nahe symmetrisch, moderate Woelbung)"
