x_merkmal,y_merkmal,pearson_abs,spearman_abs,mutual_info,einzelmerkmal_r2,rf_feature_importance,rang_pearson_abs,rang_spearman_abs,rang_mutual_info,rang_einzelmerkmal_r2,rang_rf_feature_importance,mittlerer_rang
wandstaerke_soll,duesenspalt,0.972,0.965,1.407,0.945,0.954,1.0,1.0,1.0,1.0,1.0,1.0
dn_ziel,duesenspalt,0.943,0.924,1.025,0.889,0.011,2.0,2.0,2.0,2.0,2.5,2.1
produktionsgeschwindigkeit_soll,duesenspalt,0.419,0.391,0.102,0.175,0.007,3.0,3.0,3.0,3.0,5.5,3.5
material_mfr,duesenspalt,0.109,0.106,0.0,0.012,0.011,4.0,4.0,5.0,4.0,2.5,3.9
dickentoleranz,duesenspalt,0.025,0.021,0.0,0.001,0.009,5.0,5.0,5.0,5.0,4.0,4.8
ovalitaet_anforderung,duesenspalt,0.014,0.009,0.0,0.0,0.007,6.0,6.0,5.0,6.0,5.5,5.7
wandstaerke_soll,innenluftdruck,0.637,0.59,0.236,0.405,0.254,1.0,1.0,1.0,1.5,2.0,1.3
dn_ziel,innenluftdruck,0.636,0.585,0.23,0.405,0.293,2.0,2.0,2.0,1.5,1.0,1.7
produktionsgeschwindigkeit_soll,innenluftdruck,0.553,0.532,0.184,0.306,0.192,3.0,3.0,3.0,3.0,3.0,3.0
material_mfr,innenluftdruck,0.187,0.183,0.012,0.035,0.103,4.0,4.0,5.0,4.0,4.0,4.2
dickentoleranz,innenluftdruck,0.051,0.047,0.007,0.003,0.076,5.0,5.0,6.0,5.0,5.0,5.2
ovalitaet_anforderung,innenluftdruck,0.005,0.001,0.013,0.0,0.074,6.0,6.0,4.0,6.0,6.0,5.6
produktionsgeschwindigkeit_soll,kuehlwassertemperatur,0.397,0.371,0.091,0.157,0.302,1.0,1.0,1.0,1.0,1.0,1.0
material_mfr,kuehlwassertemperatur,0.177,0.177,0.025,0.031,0.154,2.0,2.0,3.0,2.0,2.0,2.2
dn_ziel,kuehlwassertemperatur,0.081,0.074,0.042,0.007,0.153,3.0,4.0,2.0,3.0,3.0,3.0
wandstaerke_soll,kuehlwassertemperatur,0.079,0.076,0.013,0.006,0.137,4.0,3.0,4.0,4.0,4.0,3.8
dickentoleranz,kuehlwassertemperatur,0.021,0.029,0.0,0.0,0.124,5.0,5.0,5.5,5.5,5.0,5.2
ovalitaet_anforderung,kuehlwassertemperatur,0.004,0.003,0.0,0.0,0.116,6.0,6.0,5.5,5.5,6.0,5.8
dn_ziel,massetemperatur,0.548,0.521,0.204,0.3,0.259,1.0,1.0,1.0,1.0,1.0,1.0
wandstaerke_soll,massetemperatur,0.534,0.51,0.182,0.285,0.224,2.0,2.0,2.0,2.0,3.0,2.2
material_mfr,massetemperatur,0.352,0.337,0.082,0.124,0.231,3.0,3.0,3.0,3.0,2.0,2.8
produktionsgeschwindigkeit_soll,massetemperatur,0.079,0.081,0.022,0.006,0.12,4.0,4.0,4.0,4.0,4.0,4.0
ovalitaet_anforderung,massetemperatur,0.034,0.031,0.0,0.001,0.081,5.0,5.0,5.5,5.0,5.0,5.1
dickentoleranz,massetemperatur,0.021,0.019,0.0,0.0,0.077,6.0,6.0,5.5,6.0,6.0,5.9
dn_ziel,schneckendrehzahl,0.74,0.695,0.393,0.547,0.582,1.0,1.0,2.0,1.0,1.0,1.2
wandstaerke_soll,schneckendrehzahl,0.709,0.662,0.394,0.503,0.074,2.0,2.0,1.0,2.0,3.0,2.0
produktionsgeschwindigkeit_soll,schneckendrehzahl,0.141,0.151,0.06,0.02,0.267,3.0,3.0,3.0,3.0,2.0,2.8
material_mfr,schneckendrehzahl,0.056,0.045,0.0,0.003,0.023,4.0,4.0,5.5,4.0,6.0,4.7
ovalitaet_anforderung,schneckendrehzahl,0.006,0.009,0.006,0.0,0.026,5.0,5.5,4.0,5.5,4.0,4.8
dickentoleranz,schneckendrehzahl,0.002,0.009,0.0,0.0,0.025,6.0,5.5,5.5,5.5,5.0,5.5
wandstaerke_soll,vakuumniveau,0.535,0.514,0.174,0.286,0.354,1.0,1.0,1.0,1.0,1.0,1.0
dn_ziel,vakuumniveau,0.528,0.505,0.131,0.279,0.142,2.0,2.0,2.0,2.0,4.0,2.4
material_mfr,vakuumniveau,0.237,0.237,0.011,0.056,0.157,4.0,3.0,4.0,4.0,2.0,3.4
produktionsgeschwindigkeit_soll,vakuumniveau,0.242,0.231,0.01,0.059,0.095,3.0,4.0,5.0,3.0,5.0,4.0
ovalitaet_anforderung,vakuumniveau,0.196,0.194,0.024,0.038,0.151,5.0,5.0,3.0,5.0,3.0,4.2
dickentoleranz,vakuumniveau,0.032,0.029,0.0,0.001,0.089,6.0,6.0,6.0,6.0,6.0,6.0
