modell,feature_set,r2_durchschnitt
Ridge,original,0.5674
Ridge,nur_dn,0.5533
Ridge,nur_wandstaerke,0.5479
Ridge,residualisiert,0.5674
RandomForest,original,0.5443
RandomForest,nur_dn,0.5282
RandomForest,nur_wandstaerke,0.5278
RandomForest,residualisiert,0.5409
kNN,original,0.4461
kNN,nur_dn,0.4202
kNN,nur_wandstaerke,0.4177
kNN,residualisiert,0.4105
MLP,original,0.5276
MLP,nur_dn,0.5176
MLP,nur_wandstaerke,0.5132
MLP,residualisiert,0.5246
SVR,original,0.5261
SVR,nur_dn,0.5064
SVR,nur_wandstaerke,0.5047
SVR,residualisiert,0.5174
HistGradientBoosting,original,0.549
HistGradientBoosting,nur_dn,0.5351
HistGradientBoosting,nur_wandstaerke,0.5329
HistGradientBoosting,residualisiert,0.5464
XGBoost,original,0.5515
XGBoost,nur_dn,0.5318
XGBoost,nur_wandstaerke,0.5295
XGBoost,residualisiert,0.5456
LightGBM,original,0.5493
LightGBM,nur_dn,0.5329
LightGBM,nur_wandstaerke,0.5341
LightGBM,residualisiert,0.5469
