modell,feature_set,r2_multioutput,r2_einzeln,differenz,fit_zeit_multioutput,fit_zeit_einzeln
Ridge,original,0.5674,0.5674,0.0,0.0035,0.0122
Ridge,nur_dn,0.5533,0.5533,0.0,0.0031,0.01
Ridge,nur_wandstaerke,0.5479,0.5479,0.0,0.0035,0.0057
Ridge,residualisiert,0.5674,0.5674,-0.0,0.001,0.0027
RandomForest,original,0.5224,0.5404,-0.018,0.6183,9.1694
RandomForest,nur_dn,0.512,0.5223,-0.0103,0.733,8.047
RandomForest,nur_wandstaerke,0.5109,0.5205,-0.0097,1.6486,7.8829
RandomForest,residualisiert,0.5156,0.5371,-0.0216,1.7136,8.7344
kNN,original,0.4461,0.4461,0.0,0.0035,0.0309
kNN,nur_dn,0.4202,0.4202,0.0,0.0049,0.0258
kNN,nur_wandstaerke,0.4177,0.4177,0.0,0.0025,0.0261
kNN,residualisiert,0.4105,0.4105,0.0,0.0062,0.0287
MLP,original,0.4097,0.3656,0.0441,6.1697,15.2355
MLP,nur_dn,0.3957,0.3293,0.0664,6.0645,8.8643
MLP,nur_wandstaerke,0.3918,0.3348,0.0571,6.274,7.5811
MLP,residualisiert,0.3616,0.3016,0.06,6.238,7.3911
